"Downloaded on",02/17/2020,"12:01:54 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%5B%2296%22%2C%2295%22%2C%2294%22%5D%2C%22bill-status%22%3A%5B%22law%22%5D%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 2728",https://www.congress.gov/bill/96th-congress/senate-bill/2728,"96th Congress (1979-1980)",,"Indian Health Care Amendments of 1980","Sen. Melcher, John [D-MT]",05/15/1980,,,,0,"Senate - Indian Affairs",12/17/1980,"Public Law 96-537."
"S. 2726",https://www.congress.gov/bill/96th-congress/senate-bill/2726,"96th Congress (1979-1980)",,"Environmental Research, Development, and Demonstration Authorization Act of 1981","Sen. Culver, John C. [D-IA]",05/15/1980,,,,0,"Senate - Environment and Public Works",12/22/1980,"Public Law 96-569."
"S. 2725",https://www.congress.gov/bill/96th-congress/senate-bill/2725,"96th Congress (1979-1980)",,"An original bill to extend certain authorizations in the Clean Water Act and for other purposes.","Sen. Randolph, Jennings [D-WV]",05/15/1980,,,,0,"Senate - Environment and Public Works",10/21/1980,"Public Law 96-483."
"S. 2719",https://www.congress.gov/bill/96th-congress/senate-bill/2719,"96th Congress (1979-1980)",,"Housing and Community Development Act of 1980","Sen. Williams, Harrison A., Jr. [D-NJ]",05/15/1980,,,,0,"Senate - Banking, Housing, and Urban Affairs",10/08/1980,"Public Law 96-399."
"S. 2698",https://www.congress.gov/bill/96th-congress/senate-bill/2698,"96th Congress (1979-1980)",,"An original bill to provide authorizations for the Small Business Administration, and for other purposes.","Sen. Nelson, Gaylord [D-WI]",05/14/1980,,,,0,"Senate - Small Business",07/02/1980,"Public Law 96-302."
"S. 2680",https://www.congress.gov/bill/96th-congress/senate-bill/2680,"96th Congress (1979-1980)",,"A bill to improve the administration of the Historic Sites, Buildings and Antiquities Act of 1935 (49 Stat. 666).","Sen. Bumpers, Dale [D-AR]",05/08/1980,,,,0,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",09/08/1980,"Public Law 96-344."
"S. 2666",https://www.congress.gov/bill/96th-congress/senate-bill/2666,"96th Congress (1979-1980)",,"A bill to authorize appropriations for the International Natural Rubber Agreement for fiscal year 1981.","Sen. Church, Frank [D-ID]",05/06/1980,,,,0,"Senate - Foreign Relations",06/16/1980,"Public Law 96-271."
"S. 2648",https://www.congress.gov/bill/96th-congress/senate-bill/2648,"96th Congress (1979-1980)",,"An act to authorize appropriations for the Federal Election Commission for fiscal year 1981.","Sen. Pell, Claiborne [D-RI]",05/02/1980,,,,0,"Senate - Rules and Administration",05/29/1980,"Public Law 96-253."
"S. 2637",https://www.congress.gov/bill/96th-congress/senate-bill/2637,"96th Congress (1979-1980)",,"A bill to ensure that the compensation and other emoluments attached to the office of Secretary of State are those which were in effect January 1, 1977.","Sen. Ribicoff, Abraham A. [D-CT]",05/01/1980,,,,6,,05/03/1980,"Public Law 96-241."
"S. 2622",https://www.congress.gov/bill/96th-congress/senate-bill/2622,"96th Congress (1979-1980)",,"Coastal Zone Management Improvement Act of l980","Sen. Cannon, Howard W. [D-NV]",04/29/1980,,,,0,"Senate - Commerce, Science, and Transportation",10/17/1980,"Public Law 96-464."
"S. 2597",https://www.congress.gov/bill/96th-congress/senate-bill/2597,"96th Congress (1979-1980)",,"An act to authorize appropriations for fiscal year 1981 for the intelligence and intelligence-related activities of the United States Government, for the Intelligence Community Staff, and for the Central Intelligence Agency Retirement and Disability System, and for other purposes.","Sen. Bayh, Birch [D-IN]",04/23/1980,,,,0,"Senate - Intelligence, Armed Services",10/14/1980,"Public Law 96-450."
"S. 2549",https://www.congress.gov/bill/96th-congress/senate-bill/2549,"96th Congress (1979-1980)",,"An act to authorize appropriations for fiscal years 1981, 1982, and 1983 for the Atlantic Tunas Convention Act of 1975, and for other purposes.","Sen. Magnuson, Warren G. [D-WA]",04/03/1980,,,,0,"Senate - Commerce, Science, and Transportation",09/04/1980,"Public Law 96-339."
"S. 2546",https://www.congress.gov/bill/96th-congress/senate-bill/2546,"96th Congress (1979-1980)",,"A bill to authorize the Secretary of the Interior to design and construct a gunite lining on certain reaches of the Bessemer Ditch in the vicinity of Pueblo, Colorado, to prevent or reduce seepage damage on adjacent properties, and for other purposes.","Sen. Armstrong, William L. [R-CO]",04/03/1980,,,,1,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",07/09/1980,"Public Law 96-309."
"S. 2517",https://www.congress.gov/bill/96th-congress/senate-bill/2517,"96th Congress (1979-1980)",,"A bill to rename certain buildings of the Library of Congress.","Sen. Pell, Claiborne [D-RI]",04/01/1980,,,,0,"House - House Administration | Senate - Rules and Administration",06/13/1980,"Public Law 96-269."
"S. 2511",https://www.congress.gov/bill/96th-congress/senate-bill/2511,"96th Congress (1979-1980)",,"An act to amend section 106 of the Civil Rights Act of 1957 to authorize appropriations for the Commission on Civil Rights for the fiscal year 1981.","Sen. Bayh, Birch [D-IN]",04/01/1980,,,,1,"Senate - Judiciary",10/13/1980,"Public Law 96-447."
"S. 2508",https://www.congress.gov/bill/96th-congress/senate-bill/2508,"96th Congress (1979-1980)",,"A bill to provide for the disposition of the Gila River Pima-Maricopa Indian Community judgment funds awarded in Dockets 236-A, B and E before the Indian Claims Commission and the United States Court of Claims, and for other purposes.","Sen. DeConcini, Dennis [D-AZ]",04/01/1980,,,,0,"House - Interior and Insular Affairs | Senate - Indian Affairs",08/01/1980,"Public Law 96-319."
