"Downloaded on",02/17/2020,"12:02:27 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22bill-status%22%3A%5B%22law%22%5D%2C%22congress%22%3A%2293%22%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 3615",https://www.congress.gov/bill/93rd-congress/senate-bill/3615,"93rd Congress (1973-1974)",,"A bill to authorize the Secretary of the Interior to transfer certain lands in the State of Colorado to the Secretary of Agriculture for inclusion in the boundaries of the Arapaho National Forest, Colo.","Sen. Haskell, Floyd K. [D-CO]",06/10/1974,,,,1,"House - Interior and Insular Affairs | Senate - Interior and Insular Affairs",12/31/1974,"Public law 93-575."
"S. 3578",https://www.congress.gov/bill/93rd-congress/senate-bill/3578,"93rd Congress (1973-1974)",,"A bill for the relief of Anita Tomasi.","Sen. Aiken, George [R-VT]",06/04/1974,,,,0,"House - Judiciary | Senate - Judiciary",12/27/1974,"Private Law 93-102."
"S. 3574",https://www.congress.gov/bill/93rd-congress/senate-bill/3574,"93rd Congress (1973-1974)",,"A bill to relinquish and disclaim any title to certain lands and to authorize the Secretary of the Interior to convey certain lands situated in Yuma County, Ariz.","Sen. Fannin, Paul J. [R-AZ]",06/04/1974,,,,0,"House - Interior and Insular Affairs | Senate - Interior and Insular Affairs",12/31/1974,"Public law 93-578."
"S. 3548",https://www.congress.gov/bill/93rd-congress/senate-bill/3548,"93rd Congress (1973-1974)",,"An Act to establish the Harry S Truman Memorial Scholarships, and for other purposes.","Sen. Symington, Stuart [D-MO]",05/30/1974,,,,66,"House - Education and Labor | Senate - Labor and Public Welfare",01/04/1975,"Public law 93-642."
"S. 3546",https://www.congress.gov/bill/93rd-congress/senate-bill/3546,"93rd Congress (1973-1974)",,"A bill to extend for 1 year the time for entering into a contract under section 106 of the Water Resources Development Act of 1974.","Sen. Eagleton, Thomas F. [D-MO]",05/29/1974,,,,3,"House - Public Works | Senate - Interior and Insular Affairs, Public Works",12/13/1974,"Public law 93-520."
"S. 3518",https://www.congress.gov/bill/93rd-congress/senate-bill/3518,"93rd Congress (1973-1974)",,"A bill to remove the cloud on title with respect to certain lands in the State of Nevada.","Sen. Bible, Alan [D-NV]",05/21/1974,,,,1,"House - Public Works | Senate - Interior and Insular Affairs",12/31/1974,"Public law 93-565."
"S. 3490",https://www.congress.gov/bill/93rd-congress/senate-bill/3490,"93rd Congress (1973-1974)",,"Providing that funds apportioned for forest highways under section 202 (a), title 23, United States Code, remain available until expended.","Sen. McClure, James A. [R-ID]",05/14/1974,,,,1,"Senate - Public Works",07/10/1974,"Public law 93-338."
"S. 3489",https://www.congress.gov/bill/93rd-congress/senate-bill/3489,"93rd Congress (1973-1974)",,"An Act to authorize exchange of lands adjacent to the Teton National Forest in Wyoming, and for other purposes.","Sen. Hansen, Clifford P. [R-WY]",05/14/1974,,,,0,"House - Interior and Insular Affairs | Senate - Agriculture",12/31/1974,"Public law 93-564."
"S. 3481",https://www.congress.gov/bill/93rd-congress/senate-bill/3481,"93rd Congress (1973-1974)",,"An Act to amend the Federal Aviation Act of 1958 to deal with discriminatory and unfair competitive practices in international air transportation, and for other purposes.","Sen. Cannon, Howard W. [D-NV]",05/13/1974,,,,5,"Senate - Commerce",01/03/1975,"Public law 93-623."
"S. 3477",https://www.congress.gov/bill/93rd-congress/senate-bill/3477,"93rd Congress (1973-1974)",,"A bill to amend the act of August 9, 1955, relating to school fare subsidy for transportation of schoolchildren within the District of Columbia.","Sen. Eagleton, Thomas F. [D-MO]",05/09/1974,,,,0,"House - District of Columbia | Senate - District of Columbia",08/14/1974,"Public law 93-375."
"S. 3473",https://www.congress.gov/bill/93rd-congress/senate-bill/3473,"93rd Congress (1973-1974)",,"An Act to authorize appropriations for the Department of State and the United States Information Agency, and for other purposes.","Sen. Sparkman, John J. [D-AL]",05/09/1974,,,,0,"House - Foreign Affairs | Senate - Foreign Relations",10/26/1974,"Public law 93-475."
"S. 3458",https://www.congress.gov/bill/93rd-congress/senate-bill/3458,"93rd Congress (1973-1974)",,"An Act to continue domestic food assistance programs, and for other purposes.","Sen. McGovern, George [D-SD]",05/08/1974,,,,32,"House - Agriculture | Senate - Agriculture",07/12/1974,"Public law 93-347."
"S. 3433",https://www.congress.gov/bill/93rd-congress/senate-bill/3433,"93rd Congress (1973-1974)",,"An Act to further the purposes of the Wilderness Act by designating certain acquired lands for inclusion in the National Wilderness Preservation System, to provide for study of certain additional lands for such inclusion, and for other purposes.","Sen. Aiken, George [R-VT]",05/02/1974,,,,23,"House - Interior and Insular Affairs | Senate - Agriculture",01/03/1975,"Public law 93-622."
"S. 3418",https://www.congress.gov/bill/93rd-congress/senate-bill/3418,"93rd Congress (1973-1974)",,"An Act to amend title 5, United States Code, by adding a section 552a, to safeguard individual privacy from the misuse of Federal records, to provide that individuals be granted access to records concerning them which are maintained by Federal agencies, to establish a Privacy Protection Study Commission, and for other purposes.","Sen. Ervin, Sam J., Jr. [D-NC]",05/01/1974,,,,17,"Senate - Government Operations",12/31/1974,"Public law 93-579."
"S. 3398",https://www.congress.gov/bill/93rd-congress/senate-bill/3398,"93rd Congress (1973-1974)",,"An Act to amend title 38, United States Code, to increase the rates of vocational rehabilitation, educational assistance, and special training allowances paid to eligible veterans and other persons; to make improvements in the educational assistance programs; and for other purposes.","Sen. Hartke, Vance [D-IN]",04/29/1974,,,,60,"Senate - Veterans' Affairs",05/31/1974,"Public law 93-293."
"S. 3397",https://www.congress.gov/bill/93rd-congress/senate-bill/3397,"93rd Congress (1973-1974)",,"A bill for the relief of Jose Ismarnardo Reyes-Morelos.","Sen. Griffin, Robert P. [R-MI]",04/29/1974,,,,0,"House - Judiciary | Senate - Judiciary",12/27/1974,"Private Law 93-101."
"S. 3394",https://www.congress.gov/bill/93rd-congress/senate-bill/3394,"93rd Congress (1973-1974)",,"Foreign Assistance Act","Sen. Sparkman, John J. [D-AL]",04/29/1974,,,,0,"Senate - Foreign Relations",12/30/1974,"Public law 93-559."
