"Downloaded on",02/17/2020,"12:00:27 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%5B%22102%22%2C%22101%22%2C%22100%22%5D%2C%22bill-status%22%3A%5B%22law%22%5D%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 3327",https://www.congress.gov/bill/102nd-congress/senate-bill/3327,"102nd Congress (1991-1992)",,"A bill to amend the Agricultural Adjustment Act of 1938 to permit the acre-for-acre transfer of an acreage allotment or quota for certain commodities, and for other purposes.","Sen. Ford, Wendell H. [D-KY]",10/05/1992,,,,1,,10/28/1992,"Became Public Law No: 102-566."
"S. 3312",https://www.congress.gov/bill/102nd-congress/senate-bill/3312,"102nd Congress (1991-1992)",,"Cancer Registries Amendment Act","Sen. Leahy, Patrick J. [D-VT]",10/02/1992,,,,12,,10/24/1992,"Became Public Law No: 102-515."
"S. 3309",https://www.congress.gov/bill/102nd-congress/senate-bill/3309,"102nd Congress (1991-1992)",,"A bill to amend the Peace Corps Act to authorize appropriations for the Peace Corps Act to authorize appropriations for the Peace Corps for fiscal year 1993 and to establish a Peace Corps foreign exchange fluctuations account, and for other purposes.","Sen. Cranston, Alan [D-CA]",10/02/1992,,,,0,,10/28/1992,"Became Public Law No: 102-565."
"S. 3279",https://www.congress.gov/bill/102nd-congress/senate-bill/3279,"102nd Congress (1991-1992)",,"A bill to extend the authorization of use of official mail in the location and recovery of missing children, and for other purposes.","Sen. Metzenbaum, Howard M. [D-OH]",09/26/1992,,,,2,"House - Post Office and Civil Service",10/24/1992,"Became Public Law No: 102-514."
"S. 3224",https://www.congress.gov/bill/102nd-congress/senate-bill/3224,"102nd Congress (1991-1992)",,"A bill to designate the United States Courthouse to be constructed in Fargo, North Dakota, the Quentin N. Burdick United States Courthouse.","Sen. Moynihan, Daniel Patrick [D-NY]",09/10/1992,,,,98,"House - Public Works and Transportation",10/24/1992,"Became Public Law No: 102-513."
"S. 3195",https://www.congress.gov/bill/102nd-congress/senate-bill/3195,"102nd Congress (1991-1992)",,"World War II 50th Anniversary Commemorative Coins Act","Sen. Glenn, John H., Jr. [D-OH]",08/12/1992,,,,52,"Senate - Banking, Housing, and Urban Affairs",10/14/1992,"Became Public Law No: 102-414."
"S. 3175",https://www.congress.gov/bill/102nd-congress/senate-bill/3175,"102nd Congress (1991-1992)",,"National and Community Service Technical Amendment Act of 1992","Sen. Kennedy, Edward M. [D-MA]",08/11/1992,,,,0,"House - Education and Labor",10/05/1992,"Became Public Law No: 102-384."
"S. 3163",https://www.congress.gov/bill/102nd-congress/senate-bill/3163,"102nd Congress (1991-1992)",,"Prescription Drug Amendments of 1992","Sen. Kennedy, Edward M. [D-MA]",08/10/1992,,,,1,,08/26/1992,"Became Public Law No: 102-353."
"S. 3134",https://www.congress.gov/bill/102nd-congress/senate-bill/3134,"102nd Congress (1991-1992)",,"Ready to Learn Act","Sen. Kennedy, Edward M. [D-MA]",08/05/1992,,,,11,"Senate - Labor and Human Resources",10/27/1992,"Became Public Law No: 102-545."
"S. 3112",https://www.congress.gov/bill/102nd-congress/senate-bill/3112,"102nd Congress (1991-1992)",,"Public Health Service Act Technical Amendments Act","Sen. Kennedy, Edward M. [D-MA]",07/30/1992,,,,1,"House - Energy and Commerce",08/26/1992,"Became Public Law No: 102-352."
