"Downloaded on",02/17/2020,"12:00:27 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%5B%22102%22%2C%22101%22%2C%22100%22%5D%2C%22bill-status%22%3A%5B%22law%22%5D%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 3007",https://www.congress.gov/bill/102nd-congress/senate-bill/3007,"102nd Congress (1991-1992)",,"A bill to authorize financial assistance for the construction and maintenance of the Mary McLeod Bethune Memorial Fine Arts Center.","Sen. Graham, Bob [D-FL]",07/22/1992,,,,1,"House - Education and Labor",10/16/1992,"Became Public Law No: 102-423."
"S. 3006",https://www.congress.gov/bill/102nd-congress/senate-bill/3006,"102nd Congress (1991-1992)",,"President John F. Kennedy Assassination Records Collection Act of 1992","Sen. Glenn, John H., Jr. [D-OH]",07/22/1992,,,,0,"Senate - Governmental Affairs",10/26/1992,"Became Public Law No: 102-526."
"S. 3001",https://www.congress.gov/bill/102nd-congress/senate-bill/3001,"102nd Congress (1991-1992)",,"A bill to amend the Food Stamp Act of 1977 to prevent a reduction in the adjusted cost of the thrifty food plan during fiscal year 1993, and for other purposes.","Sen. Domenici, Pete V. [R-NM]",07/22/1992,,,,4,"House - Agriculture | Senate - Agriculture, Nutrition, and Forestry",08/26/1992,"Became Public Law No: 102-351."
"S. 2964",https://www.congress.gov/bill/102nd-congress/senate-bill/2964,"102nd Congress (1991-1992)",,"A bill granting the consent of the Congress to a supplemental compact or agreement between the Commonwealth of Pennsylvania and the State of New Jersey concerning the Delaware River Port Authority.","Sen. Specter, Arlen [R-PA]",07/02/1992,,,,3,"Senate - Judiciary",10/27/1992,"Became Public Law No: 102-544."
"S. 2941",https://www.congress.gov/bill/102nd-congress/senate-bill/2941,"102nd Congress (1991-1992)",,"Small Business Research and Development Enhancement Act of 1992","Sen. Rudman, Warren [R-NH]",07/02/1992,,,,21,"Senate - Small Business",10/28/1992,"Became Public Law No: 102-564."
"S. 2938",https://www.congress.gov/bill/102nd-congress/senate-bill/2938,"102nd Congress (1991-1992)",,"A bill to authorize the Architect of the Capitol to acquire certain property.","Sen. Mitchell, George J. [D-ME]",07/01/1992,,,,1,,08/03/1992,"Became Public Law No: 102-330."
"S. 2917",https://www.congress.gov/bill/102nd-congress/senate-bill/2917,"102nd Congress (1991-1992)",,"A bill to amend the National School Lunch Act to authorize the Secretary of Agriculture to provide financial and other assistance to the University of Mississippi, in cooperation with the University of Southern Mississippi, to establish and maintain a food service management institute, and for other purposes.","Sen. Cochran, Thad [R-MS]",06/30/1992,,,,0,"Senate - Agriculture, Nutrition, and Forestry",08/07/1992,"Became Public Law No: 102-337."
"S. 2905",https://www.congress.gov/bill/102nd-congress/senate-bill/2905,"102nd Congress (1991-1992)",,"A bill to provide a 4-month extension of the transition rule for separate capitalization of savings associations' subsidiaries.","Sen. Riegle, Donald W., Jr. [D-MI]",06/29/1992,,,,1,,07/01/1992,"Became Public Law No: 102-310."
"S. 2901",https://www.congress.gov/bill/102nd-congress/senate-bill/2901,"102nd Congress (1991-1992)",,"A bill to direct the Secretary of Health and Human Services to extend the waiver granted to the Tennessee Primary Care Network of the enrollment mix requirement under the medicaid program.","Sen. Sasser, Jim [D-TN]",06/26/1992,,,,1,,07/02/1992,"Became Public Law No: 102-317."
"S. 2890",https://www.congress.gov/bill/102nd-congress/senate-bill/2890,"102nd Congress (1991-1992)",,"An Act to provide for the establishment of the Brown v. Board of Education National Historic Site in the State of Kansas, and for other purposes.","Sen. Dole, Robert J. [R-KS]",06/24/1992,,,,1,"Senate - Energy and Natural Resources",10/26/1992,"Became Public Law No: 102-525."
"S. 2875",https://www.congress.gov/bill/102nd-congress/senate-bill/2875,"102nd Congress (1991-1992)",,"Children's Nutrition Assistance Act of 1992","Sen. Leahy, Patrick J. [D-VT]",06/18/1992,,,,0,"Senate - Agriculture, Nutrition, and Forestry",10/24/1992,"Became Public Law No: 102-512."
"S. 2834",https://www.congress.gov/bill/102nd-congress/senate-bill/2834,"102nd Congress (1991-1992)",,"A bill to designate the United States Post Office Building located at 100 Main Street, Millsboro, Delaware, as the ""John J. Williams Post Office Building"".","Sen. Roth Jr., William V. [R-DE]",06/11/1992,,,,0,"House - Post Office and Civil Service | Senate - Environment and Public Works, Governmental Affairs",10/23/1992,"Became Public Law No: 102-480."
"S. 2783",https://www.congress.gov/bill/102nd-congress/senate-bill/2783,"102nd Congress (1991-1992)",,"Medical Device Amendments of 1992","Sen. Kennedy, Edward M. [D-MA]",05/21/1992,,,,1,,06/16/1992,"Became Public Law No: 102-300."
"S. 2780",https://www.congress.gov/bill/102nd-congress/senate-bill/2780,"102nd Congress (1991-1992)",,"A bill to amend the Food Security Act of 1985 to remove certain easement requirements under the conservation reserve program, and for other purposes.","Sen. Leahy, Patrick J. [D-VT]",05/21/1992,,,,0,"House - Agriculture",07/22/1992,"Became Public Law No: 102-324."
"S. 2759",https://www.congress.gov/bill/102nd-congress/senate-bill/2759,"102nd Congress (1991-1992)",,"Child Nutrition Amendments of 1992","Sen. Leahy, Patrick J. [D-VT]",05/20/1992,,,,3,"House - Education and Labor",08/14/1992,"Became Public Law No: 102-342."
"S. 2703",https://www.congress.gov/bill/102nd-congress/senate-bill/2703,"102nd Congress (1991-1992)",,"A bill to authorize the President to appoint General Thomas C. Richards to the Office of Administrator of the Federal Aviation Administration.","Sen. Ford, Wendell H. [D-KY]",05/13/1992,,,,0,"Senate - Commerce, Science, and Transportation",06/26/1992,"Became Public Law No: 102-308."
"S. 2679",https://www.congress.gov/bill/102nd-congress/senate-bill/2679,"102nd Congress (1991-1992)",,"Hawaii Tropical Forest Recovery Act","Sen. Akaka, Daniel K. [D-HI]",05/07/1992,,,,1,"House - Agriculture | Senate - Agriculture, Nutrition, and Forestry",10/29/1992,"Became Public Law No: 102-574."
"S. 2661",https://www.congress.gov/bill/102nd-congress/senate-bill/2661,"102nd Congress (1991-1992)",,"A bill to authorize the striking of a medal commemorating the 250th Anniversary of the founding of the American Philosophical Society and the birth of Thomas Jefferson.","Sen. Moynihan, Daniel Patrick [D-NY]",05/06/1992,,,,54,"Senate - Banking, Housing, and Urban Affairs",10/23/1992,"Became Public Law No: 102-479."
"S. 2641",https://www.congress.gov/bill/102nd-congress/senate-bill/2641,"102nd Congress (1991-1992)",,"A bill to partially restore obligation authority authorized in the Intermodal Surface Transportation Efficiency Act of 1992.","Sen. Moynihan, Daniel Patrick [D-NY]",04/30/1992,,,,5,,08/06/1992,"Became Public Law No: 102-334."
"S. 2625",https://www.congress.gov/bill/102nd-congress/senate-bill/2625,"102nd Congress (1991-1992)",,"A bill to designate the United States courthouse being constructed at 400 Cooper Street in Camden, New Jersey, as the ""Mitchell H. Cohen United States Courthouse"".","Sen. Lautenberg, Frank R. [D-NJ]",04/28/1992,,,,0,"Senate - Judiciary, Environment and Public Works",10/23/1992,"Became Public Law No: 102-478."
"S. 2572",https://www.congress.gov/bill/102nd-congress/senate-bill/2572,"102nd Congress (1991-1992)",,"Arkansas-Idaho Land Exchange Act of 1992","Sen. Bumpers, Dale [D-AR]",04/09/1992,,,,3,"House - Interior and Insular Affairs, Agriculture, Merchant Marine and Fisheries | Senate - Energy and Natural Resources",11/02/1992,"Became Public Law No: 102-584."
"S. 2569",https://www.congress.gov/bill/102nd-congress/senate-bill/2569,"102nd Congress (1991-1992)",,"An original bill to amend title 10, United States Code, to make the Vice Chairman of the Joint Chiefs of Staff a member of the Joint Chiefs of Staff; to provide joint duty credit for certain service; and to provide for the temporary continuation of the current Deputy National Security Advisor in a flag officer grade in the Navy.","Sen. Nunn, Sam [D-GA]",04/09/1992,,,,0,"House - Armed Services | Senate - Armed Services",06/02/1992,"Became Public Law No: 102-297."
"S. 2532",https://www.congress.gov/bill/102nd-congress/senate-bill/2532,"102nd Congress (1991-1992)",,"FREEDOM Support Act","Sen. Pell, Claiborne [D-RI]",04/07/1992,,,,1,"Senate - Foreign Relations",10/24/1992,"Became Public Law No: 102-511."
"S. 2481",https://www.congress.gov/bill/102nd-congress/senate-bill/2481,"102nd Congress (1991-1992)",,"Indian Health Amendments of 1992","Sen. Inouye, Daniel K. [D-HI]",03/25/1992,,,,16,"Senate - Indian Affairs",10/29/1992,"Became Public Law No: 102-573."
"S. 2378",https://www.congress.gov/bill/102nd-congress/senate-bill/2378,"102nd Congress (1991-1992)",,"A bill to amend title 38, United States Code, to extend certain authorities relating to the administration of veterans laws, and for other purposes.","Sen. Cranston, Alan [D-CA]",03/20/1992,,,,1,"Senate - Veterans' Affairs",05/20/1992,"Became Public Law No: 102-291."
"S. 2344",https://www.congress.gov/bill/102nd-congress/senate-bill/2344,"102nd Congress (1991-1992)",,"Veterans' Medical Programs Amendments of 1992","Sen. Cranston, Alan [D-CA]",03/11/1992,,,,5,"House - Veterans' Affairs",10/09/1992,"Became Public Law No: 102-405."
"S. 2324",https://www.congress.gov/bill/102nd-congress/senate-bill/2324,"102nd Congress (1991-1992)",,"A bill to amend the Food Stamp Act of 1977 to make a technical correction relating to exclusions from income under the food stamp program, and for other purposes.","Sen. Leahy, Patrick J. [D-VT]",03/05/1992,,,,1,,03/26/1992,"Became Public Law No: 102-265."
"S. 2322",https://www.congress.gov/bill/102nd-congress/senate-bill/2322,"102nd Congress (1991-1992)",,"Veterans' Compensation Cost-of-Living Adjustment Act of 1992","Sen. Cranston, Alan [D-CA]",03/05/1992,,,,13,"Senate - Veterans' Affairs",10/24/1992,"Became Public Law No: 102-510."
"S. 2201",https://www.congress.gov/bill/102nd-congress/senate-bill/2201,"102nd Congress (1991-1992)",,"Soviet Scientists Immigration Act of 1992","Sen. Brown, Hank [R-CO]",02/06/1992,,,,9,"House - Judiciary, Foreign Affairs | Senate - Judiciary",10/24/1992,"Became Public Law No: 102-509."
"S. 2184",https://www.congress.gov/bill/102nd-congress/senate-bill/2184,"102nd Congress (1991-1992)",,"Morris K. Udall Scholarship and Excellence in National Environmental and Native American Public Policy Act of 1992","Sen. DeConcini, Dennis [D-AZ]",02/04/1992,,,,1,,03/19/1992,"Became Public Law No: 102-259."
"S. 2098",https://www.congress.gov/bill/102nd-congress/senate-bill/2098,"102nd Congress (1991-1992)",,"A bill to authorize the President to appoint Major General Jerry Ralph Curry to the Office of Administrator of the Federal Aviation Administration.","Sen. Ford, Wendell H. [D-KY]",11/26/1991,,,,0,,12/11/1991,"Became Public Law No: 102-223."
"S. 2079",https://www.congress.gov/bill/102nd-congress/senate-bill/2079,"102nd Congress (1991-1992)",,"Marsh-Billings National Historical Park Establishment Act","Sen. Jeffords, James M. [R-VT]",11/26/1991,,,,1,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",08/26/1992,"Became Public Law No: 102-350."
"S. 2050",https://www.congress.gov/bill/102nd-congress/senate-bill/2050,"102nd Congress (1991-1992)",,"A bill to ensure that the ceiling established with respect to health education assistance loans does not prohibit the provision of Federal loan insurance to new and previous borrowers under such loan program, and for other purposes.","Sen. Kennedy, Edward M. [D-MA]",11/25/1991,,,,1,,12/11/1991,"Became Public Law No: 102-222."
"S. 2044",https://www.congress.gov/bill/102nd-congress/senate-bill/2044,"102nd Congress (1991-1992)",,"Native American Languages Act of 1991","Sen. Inouye, Daniel K. [D-HI]",11/25/1991,,,,7,"House - Education and Labor | Senate - Indian Affairs",10/26/1992,"Became Public Law No: 102-524."
"S. 1963",https://www.congress.gov/bill/102nd-congress/senate-bill/1963,"102nd Congress (1991-1992)",,"A bill to amend section 992 of title 28, United States Code, to provide a member of the United States Sentencing Commission whose term has expired may continue to serve until a successor is appointed or until the expiration of the next session of Congress.","Sen. Biden, Joseph R., Jr. [D-DE]",11/13/1991,,,,1,"House - Judiciary | Senate - Judiciary",08/26/1992,"Became Public Law No: 102-349."
"S. 1891",https://www.congress.gov/bill/102nd-congress/senate-bill/1891,"102nd Congress (1991-1992)",,"A bill to permit the Secretary of Health and Human Services to waive certain recovery requirements with respect to the construction or remodeling of facilities, and for other purposes.","Sen. Thurmond, Strom [R-SC]",10/29/1991,,,,1,"House - Energy and Commerce",12/17/1991,"Became Public Law No: 102-239."
"S. 1889",https://www.congress.gov/bill/102nd-congress/senate-bill/1889,"102nd Congress (1991-1992)",,"A bill to designate the United States Courthouse located at 111 South Wolcott in Casper, Wyoming, as the ""Ewing T. Kerr United States Courthouse"".","Sen. Simpson, Alan K. [R-WY]",10/29/1991,,,,1,"House - Public Works and Transportation | Senate - Environment and Public Works",03/20/1992,"Became Public Law No: 102-262."
"S. 1880",https://www.congress.gov/bill/102nd-congress/senate-bill/1880,"102nd Congress (1991-1992)",,"A bill to amend the District of Columbia Spouse Equity Act of 1988.","Sen. Levin, Carl [D-MI]",10/25/1991,,,,0,"Senate - Governmental Affairs",10/16/1992,"Became Public Law No: 102-422."
"S. 1848",https://www.congress.gov/bill/102nd-congress/senate-bill/1848,"102nd Congress (1991-1992)",,"Dropout Prevention Technical Correction Amendment of 1991","Sen. Kennedy, Edward M. [D-MA]",10/22/1991,,,,2,"Senate - Labor and Human Resources",11/13/1991,"Became Public Law No: 102-159."
"S. 1823",https://www.congress.gov/bill/102nd-congress/senate-bill/1823,"102nd Congress (1991-1992)",,"A bill to amend the Veterans' Benefit and Services Act of 1988 to authorize the Department of Veterans Affairs to use for the operation and maintenance of the National Memorial Cemetery of Arizona funds appropriated during fiscal year 1992 for the National Cemetery System.","Sen. DeConcini, Dennis [D-AZ]",10/08/1991,,,,1,,11/05/1991,"Became Public Law No: 102-151."
"S. 1773",https://www.congress.gov/bill/102nd-congress/senate-bill/1773,"102nd Congress (1991-1992)",,"A bill to extend for a period of 31 days the legislative reinstatement of the power of Indian tribes to exercise criminal jurisdiction over Indians.","Sen. Inouye, Daniel K. [D-HI]",09/30/1991,,,,0,,10/09/1991,"Became Public Law No: 102-124."
"S. 1770",https://www.congress.gov/bill/102nd-congress/senate-bill/1770,"102nd Congress (1991-1992)",,"A bill to convey certain surplus real property located in the Black Hills National Forest to the Black Hills Workshop and Training Center, and for other purposes.","Sen. Daschle, Thomas A. [D-SD]",09/27/1991,,,,1,"House - Government Operations | Senate - Energy and Natural Resources",08/26/1992,"Became Public Law No: 102-348."
"S. 1766",https://www.congress.gov/bill/102nd-congress/senate-bill/1766,"102nd Congress (1991-1992)",,"United States Capitol Police Jurisdiction Act","Sen. Ford, Wendell H. [D-KY]",09/26/1991,,,,1,"House - House Administration",10/06/1992,"Became Public Law No: 102-397."
"S. 1745",https://www.congress.gov/bill/102nd-congress/senate-bill/1745,"102nd Congress (1991-1992)",,"Civil Rights Act of 1991","Sen. Danforth, John C. [R-MO]",09/24/1991,,,,6,,11/21/1991,"Became Public Law No: 102-166."
"S. 1743",https://www.congress.gov/bill/102nd-congress/senate-bill/1743,"102nd Congress (1991-1992)",,"Arkansas Wild and Scenic Rivers Act of 1992","Sen. Bumpers, Dale [D-AR]",09/24/1991,,,,1,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",04/22/1992,"Became Public Law No: 102-275."
"S. 1731",https://www.congress.gov/bill/102nd-congress/senate-bill/1731,"102nd Congress (1991-1992)",,"United States-Hong Kong Policy Act of 1992","Sen. McConnell, Mitch [R-KY]",09/20/1991,,,,29,"House - Foreign Affairs | Senate - Foreign Relations",10/05/1992,"Became Public Law No: 102-383."
"S. 1720",https://www.congress.gov/bill/102nd-congress/senate-bill/1720,"102nd Congress (1991-1992)",,"Navajo-Hopi Relocation Housing Program Reauthorization Act of 1991","Sen. Inouye, Daniel K. [D-HI]",09/17/1991,,,,0,"House - Interior and Insular Affairs | Senate - Indian Affairs",12/02/1991,"Became Public Law No: 102-180."
"S. 1671",https://www.congress.gov/bill/102nd-congress/senate-bill/1671,"102nd Congress (1991-1992)",,"Waste Isolation Pilot Plant Land Withdrawal Act","Sen. Domenici, Pete V. [R-NM]",08/02/1991,,,,1,"Senate - Energy and Natural Resources",10/30/1992,"Became Public Law No: 102-579."
"S. 1664",https://www.congress.gov/bill/102nd-congress/senate-bill/1664,"102nd Congress (1991-1992)",,"Keweenaw National Historical Park Establishment Act","Sen. Levin, Carl [D-MI]",08/02/1991,,,,1,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",10/27/1992,"Became Public Law No: 102-543."
"S. 1623",https://www.congress.gov/bill/102nd-congress/senate-bill/1623,"102nd Congress (1991-1992)",,"Audio Home Recording Act of 1992","Sen. DeConcini, Dennis [D-AZ]",08/01/1991,,,,35,"Senate - Judiciary",10/28/1992,"Became Public Law No: 102-563."
"S. 1608",https://www.congress.gov/bill/102nd-congress/senate-bill/1608,"102nd Congress (1991-1992)",,"A bill to make technical amendments to the Nutrition Information and Labeling Act, and for other purposes.","Sen. Metzenbaum, Howard M. [D-OH]",07/31/1991,,,,1,,08/17/1991,"Became Public Law No: 102-108."
"S. 1607",https://www.congress.gov/bill/102nd-congress/senate-bill/1607,"102nd Congress (1991-1992)",,"Northern Cheyenne Indian Reserved Water Rights Settlement Act of 1992","Sen. Burns, Conrad R. [R-MT]",07/31/1991,,,,2,"House - Interior and Insular Affairs | Senate - Indian Affairs",09/30/1992,"Became Public Law No: 102-374."
"S. 1594",https://www.congress.gov/bill/102nd-congress/senate-bill/1594,"102nd Congress (1991-1992)",,"Terry Beirn Community Based AIDS Research Initiative Act of 1991","Sen. Kennedy, Edward M. [D-MA]",07/30/1991,,,,13,"Senate - Labor and Human Resources",08/14/1991,"Became Public Law No: 102-96."
"S. 1593",https://www.congress.gov/bill/102nd-congress/senate-bill/1593,"102nd Congress (1991-1992)",,"National Commission on Libraries and Information Science Act Amendments of 1991","Sen. Pell, Claiborne [D-RI]",07/30/1991,,,,3,"House - Education and Labor",08/14/1991,"Became Public Law No: 102-95."
"S. 1583",https://www.congress.gov/bill/102nd-congress/senate-bill/1583,"102nd Congress (1991-1992)",,"Pipeline Safety Act of 1992","Sen. Exon, J. James [D-NE]",07/29/1991,,,,2,"Senate - Energy and Natural Resources, Commerce, Science, and Transportation",10/24/1992,"Became Public Law No: 102-508."
"S. 1577",https://www.congress.gov/bill/102nd-congress/senate-bill/1577,"102nd Congress (1991-1992)",,"Alzheimer's Disease Research, Training, and Education Amendments of 1992","Sen. Metzenbaum, Howard M. [D-OH]",07/29/1991,,,,19,"House - Energy and Commerce | Senate - Labor and Human Resources",10/24/1992,"Became Public Law No: 102-507."
"S. 1569",https://www.congress.gov/bill/102nd-congress/senate-bill/1569,"102nd Congress (1991-1992)",,"Federal Courts Administration Act of 1992","Sen. Heflin, Howell [D-AL]",07/26/1991,,,,2,"House - Judiciary | Senate - Judiciary",10/29/1992,"Became Public Law No: 102-572."
"S. 1568",https://www.congress.gov/bill/102nd-congress/senate-bill/1568,"102nd Congress (1991-1992)",,"A bill to amend the Act incorporating the American Legion so as to redefine eligibility for membership therein.","Sen. Biden, Joseph R., Jr. [D-DE]",07/26/1991,,,,1,"House - Judiciary | Senate - Judiciary",12/02/1991,"Became Public Law No: 102-179."
"S. 1563",https://www.congress.gov/bill/102nd-congress/senate-bill/1563,"102nd Congress (1991-1992)",,"National Sea Grant College Program Authorization Act of 1991","Sen. Kerry, John F. [D-MA]",07/25/1991,,,,13,"House - Merchant Marine and Fisheries | Senate - Commerce, Science, and Transportation, Labor and Human Resources",12/04/1991,"Became Public Law No: 102-186."
"S. 1532",https://www.congress.gov/bill/102nd-congress/senate-bill/1532,"102nd Congress (1991-1992)",,"Abandoned Infants Assistance Act Amendments of 1991","Sen. Metzenbaum, Howard M. [D-OH]",07/23/1991,,,,8,"Senate - Labor and Human Resources",12/12/1991,"Became Public Law No: 102-236."
"S. 1530",https://www.congress.gov/bill/102nd-congress/senate-bill/1530,"102nd Congress (1991-1992)",,"Indian Employment, Training and Related Services Demonstration Act of 1992","Sen. Simon, Paul [D-IL]",07/23/1991,,,,12,"House - Interior and Insular Affairs | Senate - Indian Affairs",10/23/1992,"Became Public Law No: 102-477."
"S. 1475",https://www.congress.gov/bill/102nd-congress/senate-bill/1475,"102nd Congress (1991-1992)",,"Protection and Advocacy for Mentally Ill Individuals Amendments Act of 1991","Sen. Harkin, Tom [D-IA]",07/15/1991,,,,8,"House - Energy and Commerce | Senate - Labor and Human Resources",11/27/1991,"Became Public Law No: 102-173."
"S. 1467",https://www.congress.gov/bill/102nd-congress/senate-bill/1467,"102nd Congress (1991-1992)",,"A bill to designate the United States Courthouse located at 15 Lee Street in Montgomery, Alabama, as the ""Frank M. Johnson, Jr. United States Courthouse.","Sen. Heflin, Howell [D-AL]",07/11/1991,,,,0,"House - Public Works and Transportation | Senate - Environment and Public Works",03/20/1992,"Became Public Law No: 102-261."
"S. 1462",https://www.congress.gov/bill/102nd-congress/senate-bill/1462,"102nd Congress (1991-1992)",,"Telephone Consumer Protection Act of 1991","Sen. Hollings, Ernest F. [D-SC]",07/11/1991,,,,4,"Senate - Commerce, Science, and Transportation",12/20/1991,"Became Public Law No: 102-243."
"S. 1439",https://www.congress.gov/bill/102nd-congress/senate-bill/1439,"102nd Congress (1991-1992)",,"A bill to authorize and direct the Secrtary of Interior to convey certain lands in Livingston Parish, Louisiana.","Sen. Johnston, J. Bennett [D-LA]",07/09/1991,,,,0,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",10/28/1992,"Became Public Law No: 102-562."
"S. 1415",https://www.congress.gov/bill/102nd-congress/senate-bill/1415,"102nd Congress (1991-1992)",,"A bill to provide for additional membership on the Library of Congress Trust Fund Board, and for other purposes.","Sen. Pell, Claiborne [D-RI]",06/27/1991,,,,0,"House - House Administration | Senate - Rules and Administration",02/18/1992,"Became Public Law No: 102-246."
"S. 1306",https://www.congress.gov/bill/102nd-congress/senate-bill/1306,"102nd Congress (1991-1992)",,"ADAMHA Reorganization Act","Sen. Kennedy, Edward M. [D-MA]",06/17/1991,,,,1,"Senate - Labor and Human Resources",07/10/1992,"Became Public Law No: 102-321."
"S. 1284",https://www.congress.gov/bill/102nd-congress/senate-bill/1284,"102nd Congress (1991-1992)",,"A bill to make certain technical corrections in the Judicial Improvements Act of 1990.","Sen. Thurmond, Strom [R-SC]",06/12/1991,,,,1,"House - Judiciary",12/09/1991,"Became Public Law No: 102-198."
"S. 1254",https://www.congress.gov/bill/102nd-congress/senate-bill/1254,"102nd Congress (1991-1992)",,"A bill to increase the authorized acreage limit for the Assateague Island National Seashore on the Maryland mainland, and for other purposes.","Sen. Sarbanes, Paul S. [D-MD]",06/11/1991,,,,1,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",07/10/1992,"Became Public Law No: 102-320."
"S. 1216",https://www.congress.gov/bill/102nd-congress/senate-bill/1216,"102nd Congress (1991-1992)",,"Chinese Student Protection Act of 1992","Sen. Gorton, Slade [R-WA]",06/04/1991,,,,9,"House - Judiciary | Senate - Judiciary",10/09/1992,"Became Public Law No: 102-404."
"S. 1193",https://www.congress.gov/bill/102nd-congress/senate-bill/1193,"102nd Congress (1991-1992)",,"Technical Amendments to Various Indian Laws Act of 1991","Sen. Inouye, Daniel K. [D-HI]",05/24/1991,,,,0,"House - Interior and Insular Affairs | Senate - Indian Affairs",12/17/1991,"Became Public Law No: 102-238."
"S. 1182",https://www.congress.gov/bill/102nd-congress/senate-bill/1182,"102nd Congress (1991-1992)",,"Fishlake National Forest Enlargement Act","Sen. Garn, E. J. (Jake) [R-UT]",05/24/1991,,,,1,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",05/26/1992,"Became Public Law No: 102-292."
"S. 1181",https://www.congress.gov/bill/102nd-congress/senate-bill/1181,"102nd Congress (1991-1992)",,"A bill for the relief of Christy Carl Hallien of Arlington, Texas.","Sen. Bentsen, Lloyd M. [D-TX]",05/24/1991,,,,0,"House - Judiciary | Senate - Judiciary",10/23/1992,"Became Private Law No: 102-19."
