"Downloaded on",02/17/2020,"12:01:10 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%5B%2299%22%2C%2298%22%2C%2297%22%5D%2C%22bill-status%22%3A%5B%22law%22%5D%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 2948",https://www.congress.gov/bill/99th-congress/senate-bill/2948,"99th Congress (1985-1986)",,"A bill to authorize the President to promote posthumously the late Lieutenant Colonel Ellison S. Onizuka to the grade of Colonel.","Sen. Matsunaga, Spark M. [D-HI]",10/17/1986,,,,1,,11/03/1986,"Became Public Law No: 99-597."
"S. 2914",https://www.congress.gov/bill/99th-congress/senate-bill/2914,"99th Congress (1985-1986)",,"A bill to extend through fiscal year 1988 SBA Pilot Programs under section 8 of the Small Business Act.","Sen. Weicker, Lowell P., Jr. [R-CT]",10/09/1986,,,,1,,10/27/1986,"Became Public Law No: 99-567."
"S. 2888",https://www.congress.gov/bill/99th-congress/senate-bill/2888,"99th Congress (1985-1986)",,"A bill to temporarily delay the repeal of the United States Trustee System.","Sen. Thurmond, Strom [R-SC]",09/28/1986,,,,0,,09/30/1986,"Became Public Law No: 99-429."
"S. 2884",https://www.congress.gov/bill/99th-congress/senate-bill/2884,"99th Congress (1985-1986)",,"A bill to amend the Fair Labor Standards Act of 1938, to require that wages based on individual productivity be paid to handicapped workers employed under certificates issued by the Secretary of Labor.","Sen. Metzenbaum, Howard M. [D-OH]",09/27/1986,,,,13,,10/16/1986,"Became Public Law No: 99-486."
"S. 2864",https://www.congress.gov/bill/99th-congress/senate-bill/2864,"99th Congress (1985-1986)",,"Department of Labor Executive Level Conforming Amendments of 1986","Sen. Hatch, Orrin G. [R-UT]",09/24/1986,,,,0,"Senate - Labor and Human Resources",11/06/1986,"Became Public Law No: 99-619."
"S. 2852",https://www.congress.gov/bill/99th-congress/senate-bill/2852,"99th Congress (1985-1986)",,"A bill to authorize the Secretary of Transportation to release restrictions on the use of certain property conveyed to the Peninsula Airport Commission, Virginia, for airport purposes.","Sen. Trible, Paul S., Jr. [R-VA]",09/23/1986,,,,0,"Senate - Commerce, Science, and Transportation",11/06/1986,"Became Public Law No: 99-618."
"S. 2788",https://www.congress.gov/bill/99th-congress/senate-bill/2788,"99th Congress (1985-1986)",,"A bill to designate the Federal building located in San Diego, California, as the ""Jacob Weinberger Federal Building"".","Sen. Wilson, Pete [R-CA]",08/15/1986,,,,0,"Senate - Environment and Public Works",10/16/1986,"Became Public Law No: 99-485."
"S. 2759",https://www.congress.gov/bill/99th-congress/senate-bill/2759,"99th Congress (1985-1986)",,"An original bill relating to telephone services for Senators.","Sen. Mathias, Charles McC., Jr. [R-MD]",08/14/1986,,,,0,"House - House Administration | Senate - Rules and Administration",10/02/1986,"Became Public Law No: 99-439."
"S. 2750",https://www.congress.gov/bill/99th-congress/senate-bill/2750,"99th Congress (1985-1986)",,"Houlton Band of Maliseet Indians Supplementary Claims Settlement Act of 1986","Sen. Cohen, William S. [R-ME]",08/13/1986,,,,1,"House - Interior and Insular Affairs | Senate - Indian Affairs",10/27/1986,"Became Public Law No: 99-566."
"S. 2703",https://www.congress.gov/bill/99th-congress/senate-bill/2703,"99th Congress (1985-1986)",,"Air Carrier Access Act of 1986","Sen. Dole, Robert J. [R-KS]",07/30/1986,,,,20,"House - Public Works and Transportation | Senate - Commerce, Science, and Transportation",10/02/1986,"Became Public Law No: 99-435."
