"Downloaded on",02/17/2020,"12:01:10 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%5B%2299%22%2C%2298%22%2C%2297%22%5D%2C%22bill-status%22%3A%5B%22law%22%5D%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 2648",https://www.congress.gov/bill/99th-congress/senate-bill/2648,"99th Congress (1985-1986)",,"Injury Prevention Act of 1986","Sen. Kennedy, Edward M. [D-MA]",07/16/1986,,,,1,"Senate - Labor and Human Resources",11/10/1986,"Became Public Law No: 99-649."
"S. 2638",https://www.congress.gov/bill/99th-congress/senate-bill/2638,"99th Congress (1985-1986)",,"National Defense Authorization Act for Fiscal Year 1987","Sen. Goldwater, Barry [R-AZ]",07/08/1986,,,,0,"Senate - Armed Services",11/14/1986,"Became Public Law No: 99-661."
"S. 2534",https://www.congress.gov/bill/99th-congress/senate-bill/2534,"99th Congress (1985-1986)",,"A bill to authorize the acquisition and development of a mainland tour boat facility for the Fort Sumter National Monument, South Carolina, and for other purposes.","Sen. Thurmond, Strom [R-SC]",06/10/1986,,,,1,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",11/07/1986,"Became Public Law No: 99-637."
"S. 2506",https://www.congress.gov/bill/99th-congress/senate-bill/2506,"99th Congress (1985-1986)",,"Great Basin National Park Act of 1986","Sen. Hecht, Chic [R-NV]",05/21/1986,,,,1,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",10/27/1986,"Became Public Law No: 99-565."
"S. 2462",https://www.congress.gov/bill/99th-congress/senate-bill/2462,"99th Congress (1985-1986)",,"A bill to provide for the awarding of a special gold medal to Aaron Copland.","Sen. Kennedy, Edward M. [D-MA]",05/15/1986,,,,9,"House - Banking, Finance, and Urban Affrs | Senate - Banking, Housing, and Urban Affairs",09/23/1986,"Became Public Law No: 99-418."
"S. 2460",https://www.congress.gov/bill/99th-congress/senate-bill/2460,"99th Congress (1985-1986)",,"A bill to extend until June 30, 1986, the date on which certain limitations become effective with respect to obligations that may be made from the Military Personnel accounts of the Department of Defense for fiscal year 1986.","Sen. Wilson, Pete [R-CA]",05/15/1986,,,,1,,05/31/1986,"Became Public Law No: 99-331."
"S. 2452",https://www.congress.gov/bill/99th-congress/senate-bill/2452,"99th Congress (1985-1986)",,"A bill to designate the United States Post Office to be constructed in Barnwell, South Carolina, as the ""Solomon Blatt, Sr., Post Office Building"".","Sen. Hollings, Ernest F. [D-SC]",05/15/1986,,,,1,"House - Post Office and Civil Service | Senate - Governmental Affairs",11/07/1986,"Became Public Law No: 99-636."
"S. 2416",https://www.congress.gov/bill/99th-congress/senate-bill/2416,"99th Congress (1985-1986)",,"A bill to revise further the limitation applicable to chapter 37 of title 38, United States Code, for fiscal year 1986, for the purpose of implementing any order issued by the President for such fiscal year under any law providing for the sequestration of new loan guarantee commitments.","Sen. Murkowski, Frank H. [R-AK]",05/06/1986,,,,10,"House - Veterans' Affairs",05/23/1986,"Became Public Law No: 99-322."
"S. 2414",https://www.congress.gov/bill/99th-congress/senate-bill/2414,"99th Congress (1985-1986)",,"A bill to amend title 18, United States Code.","Sen. Thurmond, Strom [R-SC]",05/06/1986,,,,4,,07/08/1986,"Became Public Law No: 99-360."
"S. 2370",https://www.congress.gov/bill/99th-congress/senate-bill/2370,"99th Congress (1985-1986)",,"An Act to authorize the Francis Scott Key Park Foundation, Inc. to erect a memorial in the District of Columbia.","Sen. Murkowski, Frank H. [R-AK]",04/24/1986,,,,10,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",10/27/1986,"Became Public Law No: 99-531."
"S. 2351",https://www.congress.gov/bill/99th-congress/senate-bill/2351,"99th Congress (1985-1986)",,"A bill to revise the boundaries of Olympic National Park and Olympic National Forest in the State of Washington, and for other purposes.","Sen. Evans, Daniel J. [R-WA]",04/22/1986,,,,1,"Senate - Energy and Natural Resources",11/07/1986,"Became Public Law No: 99-635."
"S. 2329",https://www.congress.gov/bill/99th-congress/senate-bill/2329,"99th Congress (1985-1986)",,"Student Financial Assistance Technical Corrections Act of 1986","Sen. Quayle, Dan [R-IN]",04/17/1986,,,,0,"Senate - Labor and Human Resources",05/23/1986,"Became Public Law No: 99-320."
"S. 2320",https://www.congress.gov/bill/99th-congress/senate-bill/2320,"99th Congress (1985-1986)",,"A bill to amend an Act to add certain lands on the Island of Hawaii to Hawaii Volcanoes National Park, and for other purposes.","Sen. Inouye, Daniel K. [D-HI]",04/17/1986,,,,1,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",10/27/1986,"Became Public Law No: 99-564."
"S. 2319",https://www.congress.gov/bill/99th-congress/senate-bill/2319,"99th Congress (1985-1986)",,"A bill to provide for the continuation of the Martin Luther King, Jr. Federal Holiday Commission until 1989, and for other purposes.","Sen. Kennedy, Edward M. [D-MA]",04/17/1986,,,,4,,05/01/1986,"Became Public Law No: 99-284."
"S. 2308",https://www.congress.gov/bill/99th-congress/senate-bill/2308,"99th Congress (1985-1986)",,"A bill to authorize the President of the United States to award congressional gold medals to Anatoly and Avital Shcharansky in recognition of their dedication to human rights, and to authorize the Secretary of the Treasury to sell bronze duplicates of those medals.","Sen. Lautenberg, Frank R. [D-NJ]",04/15/1986,,,,20,"Senate - Banking, Housing, and Urban Affairs",05/13/1986,"Became Public Law No: 99-298."
"S. 2294",https://www.congress.gov/bill/99th-congress/senate-bill/2294,"99th Congress (1985-1986)",,"Education of the Handicapped Amendments of 1986","Sen. Weicker, Lowell P., Jr. [R-CT]",04/14/1986,,,,15,"House - Education and Labor | Senate - Labor and Human Resources",10/08/1986,"Became Public Law No: 99-457."
"S. 2266",https://www.congress.gov/bill/99th-congress/senate-bill/2266,"99th Congress (1985-1986)",,"National Forest Ski Area Permit Act of 1986","Sen. Wallop, Malcolm [R-WY]",03/27/1986,,,,14,"Senate - Energy and Natural Resources",10/22/1986,"Became Public Law No: 99-522."
"S. 2250",https://www.congress.gov/bill/99th-congress/senate-bill/2250,"99th Congress (1985-1986)",,"Anti-Kickback Act of 1986","Sen. Levin, Carl [D-MI]",03/26/1986,,,,8,"House - Government Operations, Judiciary | Senate - Governmental Affairs",11/07/1986,"Became Public Law No: 99-634."
"S. 2245",https://www.congress.gov/bill/99th-congress/senate-bill/2245,"99th Congress (1985-1986)",,"A bill to authorize appropriations to carry out the Export Administration Act of 1979 and export promotion activities.","Sen. Heinz, John [R-PA]",03/26/1986,,,,3,"House - Foreign Affairs | Senate - Banking, Housing, and Urban Affairs",11/07/1986,"Became Public Law No: 99-633."
"S. 2180",https://www.congress.gov/bill/99th-congress/senate-bill/2180,"99th Congress (1985-1986)",,"A bill to authorize appropriations for activities under the Federal Fire Prevention and Control Act of 1974.","Sen. Gorton, Slade [R-WA]",03/11/1986,,,,6,"Senate - Commerce, Science, and Transportation",07/08/1986,"Became Public Law No: 99-359."
"S. 2179",https://www.congress.gov/bill/99th-congress/senate-bill/2179,"99th Congress (1985-1986)",,"A bill to amend the Communications Act of 1934 to provide for reduction in the term of office of members of the Federal Communications Commission, and for other purposes.","Sen. Goldwater, Barry [R-AZ]",03/11/1986,,,,2,"Senate - Commerce, Science, and Transportation",06/06/1986,"Became Public Law No: 99-334."
"S. 2129",https://www.congress.gov/bill/99th-congress/senate-bill/2129,"99th Congress (1985-1986)",,"Risk Retention Amendments of 1986","Sen. Kasten, Robert W., Jr. [R-WI]",02/28/1986,,,,14,"House - Energy and Commerce | Senate - Commerce, Science, and Transportation",10/27/1986,"Became Public Law No: 99-563."
"S. 2095",https://www.congress.gov/bill/99th-congress/senate-bill/2095,"99th Congress (1985-1986)",,"Tribally Controlled Community College Assistance Amendments of 1986","Sen. Andrews, Mark [R-ND]",02/25/1986,,,,10,"House - Education and Labor | Senate - Indian Affairs",09/30/1986,"Became Public Law No: 99-428."
"S. 2069",https://www.congress.gov/bill/99th-congress/senate-bill/2069,"99th Congress (1985-1986)",,"Job Training Partnership Act Amendments of 1986","Sen. Quayle, Dan [R-IN]",02/07/1986,,,,2,"House - Education and Labor | Senate - Labor and Human Resources",10/16/1986,"Became Public Law No: 99-496."
"S. 2062",https://www.congress.gov/bill/99th-congress/senate-bill/2062,"99th Congress (1985-1986)",,"A bill to designate the Federal Building and United States Courthouse to be constructed and located in Newark, New Jersey, as the ""Martin Luther King, Jr. Federal Building and United States Courthouse"".","Sen. Lautenberg, Frank R. [D-NJ]",02/06/1986,,,,1,"Senate - Environment and Public Works",10/16/1986,"Became Public Law No: 99-484."
"S. 2048",https://www.congress.gov/bill/99th-congress/senate-bill/2048,"99th Congress (1985-1986)",,"R.M.S. Titanic Maritime Memorial Act of 1986","Sen. Weicker, Lowell P., Jr. [R-CT]",02/05/1986,,,,1,"Senate - Foreign Relations",10/21/1986,"Became Public Law No: 99-513."
"S. 2036",https://www.congress.gov/bill/99th-congress/senate-bill/2036,"99th Congress (1985-1986)",,"A bill to make certain technical corrections to amendments made by the Food Security Act of 1985, and for other purposes.","Sen. Dole, Robert J. [R-KS]",01/30/1986,,,,12,,02/28/1986,"Became Public Law No: 99-253."
"S. 2013",https://www.congress.gov/bill/99th-congress/senate-bill/2013,"99th Congress (1985-1986)",,"A bill to delay the referendum with respect to the 1986 through 1988 crops of Flue-cured tobacco and to delay the proclamation of national marketing quotas for the 1986 through 1988 crops of Burley tobacco.","Sen. Helms, Jesse [R-NC]",01/22/1986,,,,3,,01/30/1986,"Became Public Law No: 99-241."
"S. 2000",https://www.congress.gov/bill/99th-congress/senate-bill/2000,"99th Congress (1985-1986)",,"A bill to clarify the exemptive authority of the Securities and Exchange Commission.","Sen. Rockefeller, John D., IV [D-WV]",12/20/1985,,,,1,"Senate - Banking, Housing, and Urban Affairs",11/10/1986,"Became Public Law No: 99-648."
"S. 1965",https://www.congress.gov/bill/99th-congress/senate-bill/1965,"99th Congress (1985-1986)",,"Higher Education Amendments of 1986","Sen. Stafford, Robert T. [R-VT]",12/17/1985,,,,49,"Senate - Labor and Human Resources",10/17/1986,"Became Public Law No: 99-498."
"S. 1963",https://www.congress.gov/bill/99th-congress/senate-bill/1963,"99th Congress (1985-1986)",,"A bill to direct the Secretary of the Interior to convey certain interests in lands in Socorro County, New Mexico, to the New Mexico Institute of Mining and Technology.","Sen. Domenici, Pete V. [R-NM]",12/17/1985,,,,1,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",09/30/1986,"Became Public Law No: 99-427."
"S. 1952",https://www.congress.gov/bill/99th-congress/senate-bill/1952,"99th Congress (1985-1986)",,"Young Astronaut Program Medal Act","Sen. Garn, E. J. (Jake) [R-UT]",12/16/1985,,,,10,"House - Banking, Finance, and Urban Affrs | Senate - Banking, Housing, and Urban Affairs",05/12/1986,"Became Public Law No: 99-295."
"S. 1918",https://www.congress.gov/bill/99th-congress/senate-bill/1918,"99th Congress (1985-1986)",,"A bill to change the date for transmittal of a report.","Sen. Lugar, Richard G. [R-IN]",12/10/1985,,,,0,"Senate - Foreign Relations",12/28/1985,"Became Public Law No: 99-230."
"S. 1917",https://www.congress.gov/bill/99th-congress/senate-bill/1917,"99th Congress (1985-1986)",,"Special Foreign Assistance Act of 1986","Sen. Bradley, Bill [D-NJ]",12/10/1985,,,,61,"House - Foreign Affairs | Senate - Foreign Relations",10/24/1986,"Became Public Law No: 99-529."
"S. 1895",https://www.congress.gov/bill/99th-congress/senate-bill/1895,"99th Congress (1985-1986)",,"A bill for the relief of Marlboro County General Hospital Charity, of Bennettsville, South Carolina.","Sen. Thurmond, Strom [R-SC]",12/04/1985,,,,1,"Senate - Labor and Human Resources",10/27/1986,"Became Private Law No: 99-21."
"S. 1888",https://www.congress.gov/bill/99th-congress/senate-bill/1888,"99th Congress (1985-1986)",,"Federal Lands Cleanup Act of 1985","Sen. Bumpers, Dale [D-AR]",12/02/1985,,,,20,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",08/27/1986,"Became Public Law No: 99-402."
"S. 1884",https://www.congress.gov/bill/99th-congress/senate-bill/1884,"99th Congress (1985-1986)",,"Farm Credit Amendments Act of 1985","Sen. Helms, Jesse [R-NC]",11/23/1985,,,,2,"Senate - Agriculture, Nutrition, and Forestry",12/23/1985,"Became Public Law No: 99-205."
"S. 1874",https://www.congress.gov/bill/99th-congress/senate-bill/1874,"99th Congress (1985-1986)",,"Education of the Deaf Act of 1986","Sen. Weicker, Lowell P., Jr. [R-CT]",11/21/1985,,,,13,"Senate - Labor and Human Resources",08/04/1986,"Became Public Law No: 99-371."
"S. 1851",https://www.congress.gov/bill/99th-congress/senate-bill/1851,"99th Congress (1985-1986)",,"A bill to extend temporarily the dairy price support program and certain food stamp program provisions, and for other purposes.","Sen. Helms, Jesse [R-NC]",11/13/1985,,,,1,,11/15/1985,"Became Public Law No: 99-157."
"S. 1840",https://www.congress.gov/bill/99th-congress/senate-bill/1840,"99th Congress (1985-1986)",,"Federal Civilian Employee and Contractor Travel Expenses Act of 1985","Sen. Stevens, Ted [R-AK]",11/07/1985,,,,0,"Senate - Governmental Affairs",01/02/1986,"Became Public Law No: 99-234."
"S. 1831",https://www.congress.gov/bill/99th-congress/senate-bill/1831,"99th Congress (1985-1986)",,"A bill to amend the Arms Export Control Act to require that congressional vetoes of certain arms export proposals be enacted into law.","Sen. Cranston, Alan [D-CA]",11/05/1985,,,,9,"House - Foreign Affairs | Senate - Foreign Relations",02/12/1986,"Became Public Law No: 99-247."
"S. 1818",https://www.congress.gov/bill/99th-congress/senate-bill/1818,"99th Congress (1985-1986)",,"A bill to prevent sexual molestation of children in Indian country.","Sen. Denton, Jeremiah [R-AL]",11/01/1985,,,,22,"Senate - Judiciary",05/15/1986,"Became Public Law No: 99-303."
"S. 1766",https://www.congress.gov/bill/99th-congress/senate-bill/1766,"99th Congress (1985-1986)",,"A bill to designate the Cumberland terminus of the Chesapeake and Ohio Canal National Historical Park in honor of J. Glenn Beall, Sr.","Sen. Mathias, Charles McC., Jr. [R-MD]",10/16/1985,,,,23,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",10/08/1986,"Became Public Law No: 99-456."
"S. 1744",https://www.congress.gov/bill/99th-congress/senate-bill/1744,"99th Congress (1985-1986)",,"State Comprehensive Mental Health Services Plan Act of 1986","Sen. Kennedy, Edward M. [D-MA]",10/08/1985,,,,2,"House - Energy and Commerce | Senate - Labor and Human Resources",11/14/1986,"Became Public Law No: 99-660."
"S. 1728",https://www.congress.gov/bill/99th-congress/senate-bill/1728,"99th Congress (1985-1986)",,"Cherokee Leasing Act","Sen. Nickles, Don [R-OK]",10/02/1985,,,,1,"House - Interior and Insular Affairs, Post Office and Civil Service, Ways and Means | Senate - Indian Affairs",12/26/1985,"Became Public Law No: 99-221."
"S. 1726",https://www.congress.gov/bill/99th-congress/senate-bill/1726,"99th Congress (1985-1986)",,"A bill to repeal section 121(b) of the International Security and Development Cooperation Act of 1985 (Public Law 99-83), relating to funding for the Special Defense Acquisition Fund.","Sen. Lugar, Richard G. [R-IN]",10/01/1985,,,,0,,10/30/1985,"Became Public Law No: 99-139."
"S. 1706",https://www.congress.gov/bill/99th-congress/senate-bill/1706,"99th Congress (1985-1986)",,"A bill to authorize the Architect of the Capitol, in cooperation with the Union Station Redevelopment Corp., to design a building or buildings adjacent to Union Station in Washington, D.C.","Sen. Stafford, Robert T. [R-VT]",09/26/1985,,,,2,"House - Public Works and Transportation | Senate - Environment and Public Works",12/28/1985,"Became Public Law No: 99-229."
"S. 1689",https://www.congress.gov/bill/99th-congress/senate-bill/1689,"99th Congress (1985-1986)",,"Health Services Amendments of 1985","Sen. Hatch, Orrin G. [R-UT]",09/20/1985,,,,1,,10/07/1985,"Became Public Law No: 99-117."
"S. 1684",https://www.congress.gov/bill/99th-congress/senate-bill/1684,"99th Congress (1985-1986)",,"A bill to declare that the United States holds certain Chilocco Indian School lands in trust for the Kaw, Otoe-Missouria, Pawnee, Ponca, and Tonkawa Indian Tribes of Oklahoma.","Sen. Nickles, Don [R-OK]",09/20/1985,,,,1,"House - Interior and Insular Affairs | Senate - Indian Affairs",05/01/1986,"Became Public Law No: 99-283."
"S. 1671",https://www.congress.gov/bill/99th-congress/senate-bill/1671,"99th Congress (1985-1986)",,"A bill to amend title 38, United States Code, to provide interim extensions of the authority of the Veterans' Administration to operate a regional office in the Republic of the Philippines, to contract for hospital care and outpatient services in Puerto Rico and the Virgin Islands, and to contract for treatment and rehabilitation services for alcohol and drug dependence and abuse disabilities, and to amend the Emergency Veterans' Job Training Act of 1983 to extend the period for entering into training under such Act.","Sen. Murkowski, Frank H. [R-AK]",09/19/1985,,,,1,,09/30/1985,"Became Public Law No: 99-108."
"S. 1639",https://www.congress.gov/bill/99th-congress/senate-bill/1639,"99th Congress (1985-1986)",,"Gold Bullion Coin Act of 1985","Sen. Exon, J. James [D-NE]",09/12/1985,,,,16,"Senate - Banking, Housing, and Urban Affairs",12/17/1985,"Became Public Law No: 99-185."
"S. 1625",https://www.congress.gov/bill/99th-congress/senate-bill/1625,"99th Congress (1985-1986)",,"A bill to authorize the conveyance of 470 acres in Nevada to the University of Nevada for use as a research and development center.","Sen. Laxalt, Paul D. [R-NV]",09/11/1985,,,,1,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",07/08/1986,"Became Public Law No: 99-358."
"S. 1621",https://www.congress.gov/bill/99th-congress/senate-bill/1621,"99th Congress (1985-1986)",,"A bill to amend Title 25 U.S.C., relating to Indian education programs, and for other purposes.","Sen. Melcher, John [D-MT]",09/11/1985,,,,5,"Senate - Indian Affairs",12/28/1985,"Became Public Law No: 99-228."
"S. 1574",https://www.congress.gov/bill/99th-congress/senate-bill/1574,"99th Congress (1985-1986)",,"Comprehensive Smokeless Tobacco Health Education Act of 1986","Sen. Lugar, Richard G. [R-IN]",08/01/1985,,,,11,"Senate - Labor and Human Resources, Commerce, Science, and Transportation",02/27/1986,"Became Public Law No: 99-252."
"S. 1570",https://www.congress.gov/bill/99th-congress/senate-bill/1570,"99th Congress (1985-1986)",,"Fair Labor Standards Amendments of 1985","Sen. Nickles, Don [R-OK]",08/01/1985,,,,52,"Senate - Labor and Human Resources",11/13/1985,"Became Public Law No: 99-150."
"S. 1562",https://www.congress.gov/bill/99th-congress/senate-bill/1562,"99th Congress (1985-1986)",,"False Claims Amendments Act of 1986","Sen. Grassley, Chuck [R-IA]",08/01/1985,,,,13,"House - Judiciary | Senate - Judiciary",10/27/1986,"Became Public Law No: 99-562."
"S. 1542",https://www.congress.gov/bill/99th-congress/senate-bill/1542,"99th Congress (1985-1986)",,"A bill to amend the National Trails System Act by designating the Nez Perce (Nee-Me-Poo) Trail as a component of the National Trails System.","Sen. McClure, James A. [R-ID]",07/31/1985,,,,3,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",10/06/1986,"Became Public Law No: 99-445."
"S. 1514",https://www.congress.gov/bill/99th-congress/senate-bill/1514,"99th Congress (1985-1986)",,"An original bill to approve the Interstate Cost Estimate and Interstate Substitute Cost Estimate.","Sen. Symms, Steven D. [R-ID]",07/29/1985,,,,0,"Senate - Environment and Public Works",09/30/1985,"Became Public Law No: 99-104."
"S. 1455",https://www.congress.gov/bill/99th-congress/senate-bill/1455,"99th Congress (1985-1986)",,"A bill to extend the authority to establish and administer flexible and compressed work schedules for Federal Government employees.","Sen. Stevens, Ted [R-AK]",07/17/1985,,,,0,,07/22/1985,"Became Public Law No: 99-69."
"S. 1396",https://www.congress.gov/bill/99th-congress/senate-bill/1396,"99th Congress (1985-1986)",,"White Earth Reservation Land Settlement Act of 1985","Sen. Boschwitz, Rudy [R-MN]",06/27/1985,,,,1,"House - Interior and Insular Affairs | Senate - Indian Affairs",03/24/1986,"Became Public Law No: 99-264."
"S. 1374",https://www.congress.gov/bill/99th-congress/senate-bill/1374,"99th Congress (1985-1986)",,"Blackstone River Valley National Heritage Corridor Act of 1985","Sen. Chafee, John H. [R-RI]",06/27/1985,,,,3,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",11/10/1986,"Became Public Law No: 99-647."
"S. 1352",https://www.congress.gov/bill/99th-congress/senate-bill/1352,"99th Congress (1985-1986)",,"A bill to enhance the carrying out of fish and wildlife conservation and natural resource management programs on military reservations, and for other purposes.","Sen. Chafee, John H. [R-RI]",06/25/1985,,,,0,"Senate - Environment and Public Works",10/27/1986,"Became Public Law No: 99-561."
"S. 1349",https://www.congress.gov/bill/99th-congress/senate-bill/1349,"99th Congress (1985-1986)",,"A bill to provide for the use and distribution of funds awarded in Docket 363 to the Mdewakanton and Mahpekute Eastern or Mississippi Sioux before the United States Court of Claims and Claims Court.","Sen. Abdnor, James [R-SD]",06/25/1985,,,,2,"House - Interior and Insular Affairs | Senate - Indian Affairs",10/28/1985,"Became Public Law No: 99-130."
"S. 1311",https://www.congress.gov/bill/99th-congress/senate-bill/1311,"99th Congress (1985-1986)",,"A bill to authorize the Smithsonian Institution to plan, design, and construct facilities for the National Air and Space Museum.","Sen. Goldwater, Barry [R-AZ]",06/17/1985,,,,5,"Senate - Rules and Administration",11/06/1986,"Became Public Law No: 99-617."
"S. 1282",https://www.congress.gov/bill/99th-congress/senate-bill/1282,"99th Congress (1985-1986)",,"Health Services Amendments Act of 1986","Sen. Hatch, Orrin G. [R-UT]",06/12/1985,,,,6,"Senate - Labor and Human Resources",04/24/1986,"Became Public Law No: 99-280."
"S. 1264",https://www.congress.gov/bill/99th-congress/senate-bill/1264,"99th Congress (1985-1986)",,"Arts, Humanities, and Museums Amendments of 1985","Sen. Quayle, Dan [R-IN]",06/07/1985,,,,9,"Senate - Labor and Human Resources",12/20/1985,"Became Public Law No: 99-194."
"S. 1236",https://www.congress.gov/bill/99th-congress/senate-bill/1236,"99th Congress (1985-1986)",,"Criminal Law and Procedure Technical Amendments Act of 1986","Sen. Thurmond, Strom [R-SC]",06/04/1985,,,,3,"House - Judiciary | Senate - Judiciary",11/10/1986,"Became Public Law No: 99-646."
"S. 1230",https://www.congress.gov/bill/99th-congress/senate-bill/1230,"99th Congress (1985-1986)",,"Act to Authorize the United States to Participate in Chapter II of the Patent Cooperation Treaty","Sen. Mathias, Charles McC., Jr. [R-MD]",06/04/1985,,,,2,"Senate - Judiciary",11/06/1986,"Became Public Law No: 99-616."
"S. 1200",https://www.congress.gov/bill/99th-congress/senate-bill/1200,"99th Congress (1985-1986)",,"Immigration Reform and Control Act of 1986","Sen. Simpson, Alan K. [R-WY]",05/23/1985,,,,0,"Senate - Judiciary, Budget",11/06/1986,"Became Public Law No: 99-603."
"S. 1195",https://www.congress.gov/bill/99th-congress/senate-bill/1195,"99th Congress (1985-1986)",,"A bill to require that a portion of the mail of Congress and the executive branch include a photograph and biography of a missing child.","Sen. Metzenbaum, Howard M. [D-OH]",05/22/1985,,,,18,"House - House Administration, Post Office and Civil Service",08/09/1985,"Became Public Law No: 99-87."
"S. 1160",https://www.congress.gov/bill/99th-congress/senate-bill/1160,"99th Congress (1985-1986)",,"Department of Defense Authorization Act, 1986","Sen. Goldwater, Barry [R-AZ]",05/16/1985,,,,0,"Senate - Armed Services",11/08/1985,"Became Public Law No: 99-145."
"S. 1147",https://www.congress.gov/bill/99th-congress/senate-bill/1147,"99th Congress (1985-1986)",,"Orphan Drug Amendments of 1985","Sen. Hatch, Orrin G. [R-UT]",05/15/1985,,,,32,,08/15/1985,"Became Public Law No: 99-91."
"S. 1141",https://www.congress.gov/bill/99th-congress/senate-bill/1141,"99th Congress (1985-1986)",,"An original bill relating to certain telephone services for Senators.","Sen. Mathias, Charles McC., Jr. [R-MD]",05/15/1985,,,,0,"House - House Administration | Senate - Rules and Administration",07/12/1985,"Became Public Law No: 99-65."
