Sponsor Name,Party,Current,Sponsored Count,Cosponsored Count,Weighted Score,Score Relative to Expectation,Rank
"Sen. Strange, Luther",Republican,False,0,4,0.094,0.064,386
"Sen. DeMint, Jim",Republican,False,0,13,0.221,0.060,387
"Sen. Hodges, Kaneaster, Jr.",Democratic,False,0,1,0.100,0.034,388
"Sen. Humphrey, Muriel",Democratic,False,0,2,0.079,0.027,389
"Sen. Saxbe, William B.",Republican,False,0,1,0.050,0.025,390
"Sen. Young, Todd",Republican,True,0,5,0.043,0.024,391
"Sen. Sasse, Ben ",Republican,True,0,6,0.064,0.023,392
"Sen. Brady, Nicholas",Republican,False,0,1,0.009,0.004,393
"Sen. Burdick, Jocelyn",Democratic,False,0,0,0.000,0.000,394
"Sen. Allen, Maryon",Democratic,False,0,0,0.000,0.000,395
"Sen. Frahm, Sheila",Republican,False,0,0,0.000,0.000,396
