"Downloaded on",02/17/2020,"11:58:18 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%5B%22116%22%2C%22115%22%2C%22114%22%2C%22113%22%2C%22112%22%2C%22111%22%2C%22110%22%2C%22109%22%5D%2C%22bill-status%22%3A%5B%22law%22%5D%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 693",https://www.congress.gov/bill/116th-congress/senate-bill/693,"116th Congress (2019-2020)",,"National POW/MIA Flag Act","Sen. Warren, Elizabeth [D-MA]",03/07/2019,,,,7,"House - Judiciary | Senate - Judiciary",11/07/2019,"Became Public Law No: 116-67."
"S. 504",https://www.congress.gov/bill/116th-congress/senate-bill/504,"116th Congress (2019-2020)",,"Let Everyone Get Involved in Opportunities for National Service Act","Sen. Sinema, Kyrsten [D-AZ]",02/14/2019,,,,35,"House - Judiciary | Senate - Judiciary",07/30/2019,"Became Public Law No: 116-35."
"S. 483",https://www.congress.gov/bill/116th-congress/senate-bill/483,"116th Congress (2019-2020)",,"Pesticide Registration Improvement Extension Act of 2018","Sen. Roberts, Pat [R-KS]",02/13/2019,,,,2,,03/08/2019,"Became Public Law No: 116-8."
"S. 457",https://www.congress.gov/bill/116th-congress/senate-bill/457,"116th Congress (2019-2020)",,"President George H.W. Bush and First Spouse Barbara Bush Coin Act","Sen. Cornyn, John [R-TX]",02/12/2019,,,,66,"Senate - Banking, Housing, and Urban Affairs",01/27/2020,"Became Public Law No: 116-112."
"S. 256",https://www.congress.gov/bill/116th-congress/senate-bill/256,"116th Congress (2019-2020)",,"Esther Martinez Native American Languages Programs Reauthorization Act","Sen. Udall, Tom [D-NM]",01/29/2019,,,,10,"House - Education and Labor | Senate - Indian Affairs",12/20/2019,"Became Public Law No: 116-101."
"S. 252",https://www.congress.gov/bill/116th-congress/senate-bill/252,"116th Congress (2019-2020)",,"A bill to authorize the honorary appointment of Robert J. Dole to the grade of colonel in the regular Army.","Sen. Roberts, Pat [R-KS]",01/29/2019,,,,1,"House - Armed Services | Senate - Armed Services",04/06/2019,"Became Public Law No: 116-11."
"S. 239",https://www.congress.gov/bill/116th-congress/senate-bill/239,"116th Congress (2019-2020)",,"Christa McAuliffe Commemorative Coin Act of 2019","Sen. Shaheen, Jeanne [D-NH]",01/28/2019,,,,83,"Senate - Banking, Housing, and Urban Affairs",10/09/2019,"Became Public Law No: 116-65."
"S. 216",https://www.congress.gov/bill/116th-congress/senate-bill/216,"116th Congress (2019-2020)",,"Spokane Tribe of Indians of the Spokane Reservation Equitable Compensation Act","Sen. Cantwell, Maria [D-WA]",01/24/2019,,,,1,"House - Natural Resources | Senate - Indian Affairs",12/20/2019,"Became Public Law No: 116-100."
"S. 163",https://www.congress.gov/bill/116th-congress/senate-bill/163,"116th Congress (2019-2020)",,"Alaska Remote Generator Reliability and Protection Act","Sen. Sullivan, Dan  [R-AK]",01/16/2019,,,,1,"House - Energy and Commerce | Senate - Environment and Public Works",10/04/2019,"Became Public Law No: 116-62."
"S. 153",https://www.congress.gov/bill/116th-congress/senate-bill/153,"116th Congress (2019-2020)",,"Supporting Veterans in STEM Careers Act","Sen. Rubio, Marco [R-FL]",01/16/2019,,,,12,"House - Science, Space, and Technology, Veterans' Affairs | Senate - Commerce, Science, and Transportation",02/11/2020,"Became Public Law No: 116-115."
"S. 151",https://www.congress.gov/bill/116th-congress/senate-bill/151,"116th Congress (2019-2020)",,"Pallone-Thune Telephone Robocall Abuse Criminal Enforcement and Deterrence Act","Sen. Thune, John [R-SD]",01/16/2019,,,,84,"House - Energy and Commerce | Senate - Commerce, Science, and Transportation",12/30/2019,"Became Public Law No: 116-105."
"S. 50",https://www.congress.gov/bill/116th-congress/senate-bill/50,"116th Congress (2019-2020)",,"Columbia River In-Lieu and Treaty Fishing Access Sites Improvement Act","Sen. Merkley, Jeff [D-OR]",01/08/2019,,,,3,"Senate - Indian Affairs",12/20/2019,"Became Public Law No: 116-99."
"S. 49",https://www.congress.gov/bill/116th-congress/senate-bill/49,"116th Congress (2019-2020)",,"A bill to designate the outstation of the Department of Veterans Affairs in North Ogden, Utah, as the Major Brent Taylor Vet Center Outstation.","Sen. Lee, Mike [R-UT]",01/08/2019,,,,1,"House - Veterans' Affairs | Senate - Veterans' Affairs",03/21/2019,"Became Public Law No: 116-10."
"S. 47",https://www.congress.gov/bill/116th-congress/senate-bill/47,"116th Congress (2019-2020)",,"John D. Dingell, Jr. Conservation, Management, and Recreation Act","Sen. Murkowski, Lisa [R-AK]",01/08/2019,,,,15,,03/12/2019,"Became Public Law No: 116-9."
"S. 24",https://www.congress.gov/bill/116th-congress/senate-bill/24,"116th Congress (2019-2020)",,"Government Employee Fair Treatment Act of 2019","Sen. Cardin, Benjamin L. [D-MD]",01/03/2019,,,,44,,01/16/2019,"Became Public Law No: 116-1."
"S. 3777",https://www.congress.gov/bill/115th-congress/senate-bill/3777,"115th Congress (2017-2018)",,"Forever GI Bill Housing Payment Fulfillment Act of 2018","Sen. Boozman, John [R-AR]",12/18/2018,,,,10,,01/03/2019,"Became Public Law No: 115-422."
"S. 3749",https://www.congress.gov/bill/115th-congress/senate-bill/3749,"115th Congress (2017-2018)",,"Congressional Accountability Act of 1995 Reform Act","Sen. Klobuchar, Amy [D-MN]",12/13/2018,,,,3,,12/21/2018,"Became Public Law No: 115-397."
"S. 3661",https://www.congress.gov/bill/115th-congress/senate-bill/3661,"115th Congress (2017-2018)",,"75th Anniversary of World War II Commemoration Act","Sen. Inhofe, James M. [R-OK]",11/27/2018,,,,5,,01/10/2019,"Became Public Law No: 115-433."
"S. 3628",https://www.congress.gov/bill/115th-congress/senate-bill/3628,"115th Congress (2017-2018)",,"National Flood Insurance Program Extension Act","Sen. Kennedy, John [R-LA]",11/15/2018,,,,4,"Senate - Banking, Housing, and Urban Affairs",12/21/2018,"Became Public Law No: 115-396."
"S. 3554",https://www.congress.gov/bill/115th-congress/senate-bill/3554,"115th Congress (2017-2018)",,"A bill to extend the effective date for the sunset for collateral requirements for Small Business Administration disaster loans.","Sen. Kennedy, John [R-LA]",10/05/2018,,,,2,"Senate - Small Business and Entrepreneurship",11/29/2018,"Became Public Law No: 115-280."
"S. 3530",https://www.congress.gov/bill/115th-congress/senate-bill/3530,"115th Congress (2017-2018)",,"Museum and Library Services Act of 2018","Sen. Reed, Jack [D-RI]",09/28/2018,,,,23,"Senate - Health, Education, Labor, and Pensions",12/31/2018,"Became Public Law No: 115-410."
"S. 3509",https://www.congress.gov/bill/115th-congress/senate-bill/3509,"115th Congress (2017-2018)",,"Congressional Award Program Reauthorization Act of 2018","Sen. Enzi, Michael B. [R-WY]",09/26/2018,,,,1,,10/11/2018,"Became Public Law No: 115-268."
